planet;position;mass
saturn;POINTZ(7.941030610959463 4.785272998477304 4.785272998477304);0.011286326131968767
uranus;POINTZ(13.29039028056024 -14.78441022688782 -14.78441022688782);0.0017237240570597112
neptune;POINTZ(15.740387648259714 -25.696650301483814 -25.696650301483814);0.0020336868699246304
sun;POINTZ(-2.7161671752965183e-05 -0.0012588858577872234 -0.0012588858577872234);39.47841760435743
jupiter;POINTZ(4.955252251032456 -0.07249882920061543 -0.07249882920061543);0.03769367487038949
saturn;POINTZ(7.929400543040651 4.802694199238671 4.802694199238671);0.011286326131968767
uranus;POINTZ(13.300967665212509 -14.775436889620927 -14.775436889620927);0.0017237240570597112
neptune;POINTZ(15.75009317185049 -25.690561587131626 -25.690561587131626);0.0020336868699246304
sun;POINTZ(-2.4679511137936625e-05 -0.0012921548288401077 -0.0012921548288401077);39.47841760435743
jupiter;POINTZ(4.955139697456273 -0.04360317241921269 -0.04360317241921269);0.03769367487038949
saturn;POINTZ(7.917731241188231 4.8200915679068945 4.8200915679068945);0.011286326131968767
uranus;POINTZ(13.311538360391138 -14.766456117086909 -14.766456117086909);0.0017237240570597112
neptune;POINTZ(15.7597964205346 -25.684469159385653 -25.684469159385653);0.0020336868699246304
sun;POINTZ(-2.2032371453888768e-05 -0.001325418812709267 -0.001325418812709267);39.47841760435743
jupiter;POINTZ(4.954866516093165 -0.014706115075057143 -0.014706115075057143);0.03769367487038949
saturn;POINTZ(7.90602275099671 4.837465010595422 4.837465010595422);0.011286326131968767
uranus;POINTZ(13.322102361183727 -14.757467914271547 -14.757467914271547);0.0017237240570597112
neptune;POINTZ(15.769497392881421 -25.67837301908369 -25.67837301908369);0.0020336868699246304
sun;POINTZ(-1.92202336712148e-05 -0.0013586768870742748 -0.0013586768870742748);39.47841760435743
jupiter;POINTZ(4.9544326735910245 0.014191405204784433 0.014191405204784433);0.03769367487038949
saturn;POINTZ(7.89427511829811 4.854814433488304 4.854814433488304);0.011286326131968767
uranus;POINTZ(13.332659662681378 -14.748472286163366 -14.748472286163366);0.0017237240570597112
neptune;POINTZ(15.779196087460603 -25.672273167064073 -25.672273167064073);0.0020336868699246304
sun;POINTZ(-1.6243084543539558e-05 -0.0013919281291513127 -0.0013919281291513127);39.47841760435743
jupiter;POINTZ(4.95383814258353 0.043088450286713015 0.043088450286713015);0.03769367487038949
saturn;POINTZ(7.882488389161914 4.872139742840906 4.872139742840906);0.011286326131968767
uranus;POINTZ(13.343210259978692 -14.739469237753624 -14.739469237753624);0.0017237240570597112
